Found 20493 Zenodo raw records.
  [10001590] 1 media file(s) saved
  [10002649] 1 media file(s) saved
  [1000340] 1 media file(s) saved
  [10004003] 1 media file(s) saved
  [10004429] 3 media file(s) saved
  [10004505] 1 media file(s) saved
  [10004803] 20 media file(s) saved
  [1000490] 2 media file(s) saved
  [10005049] 1 media file(s) saved
  [10006049] 1 media file(s) saved
  [10007049] 1 media file(s) saved
  [1000722] 1 media file(s) saved
  [10007341] 1 media file(s) saved
  [10009928] 1 media file(s) saved
  [1001066] 1 media file(s) saved
  [10011612] 1 media file(s) saved
  [10011965] 1 media file(s) saved
  [10013368] 2 media file(s) saved
  [10013452] 1 media file(s) saved
  [10013533] 1 media file(s) saved
  [10015744] 1 media file(s) saved
  [10016463] 1 media file(s) saved
  [10017409] 2 media file(s) saved
  [10017525] 1 media file(s) saved
  [10018104] 1 media file(s) saved
  [10020029] 2 media file(s) saved
  [10020102] 5 media file(s) saved
  [10020219] 1 media file(s) saved
  [10020495] 1 media file(s) saved
  [10020505] 1 media file(s) saved
  [10021112] 1 media file(s) saved
  [10021615] 1 media file(s) saved
  [10022996] 1 media file(s) saved
  [10023043] 1 media file(s) saved
  [10023135] 2 media file(s) saved
  [10023977] 1 media file(s) saved
  [10023999] 1 media file(s) saved
  [10024106] 1 media file(s) saved
  [10026114] 1 media file(s) saved
  [1002697] 1 media file(s) saved
  [10027867] 1 media file(s) saved
  [10028135] 1 media file(s) saved
  [10028197] 2 media file(s) saved
  [10028686] 1 media file(s) saved
  [10029586] 1 media file(s) saved
  [10030228] 1 media file(s) saved
  [10031702] 1 media file(s) saved
  [10031712] 1 media file(s) saved
  [10032637] 1 media file(s) saved
  [10033067] 1 media file(s) saved
  [10033198] 1 media file(s) saved
  [10033833] 1 media file(s) saved
  [10034854] 1 media file(s) saved
  [10034980] 1 media file(s) saved
  [10035334] 1 media file(s) saved
  [10035465] 1 media file(s) saved
  [10035479] 1 media file(s) saved
  [10035513] 1 media file(s) saved
  [10036350] 2 media file(s) saved
  [10036860] 1 media file(s) saved
  [10037032] 1 media file(s) saved
  [10038662] 1 media file(s) saved
  [10039011] 1 media file(s) saved
  [10039141] 1 media file(s) saved
  [10039149] 1 media file(s) saved
  [10039331] 1 media file(s) saved
  [10040364] 1 media file(s) saved
  [10041917] 1 media file(s) saved
  [10043324] 1 media file(s) saved
  [10043445] 1 media file(s) saved
  [10044737] 1 media file(s) saved
  [10046394] 23 media file(s) saved
  [1004761] 2 media file(s) saved
  [10047823] 9 media file(s) saved
  [10048310] 1 media file(s) saved
  [10048314] 1 media file(s) saved
  [10048358] 1 media file(s) saved
  [10049082] 1 media file(s) saved
  [10049197] 2 media file(s) saved
  [10049512] 1 media file(s) saved
  [10049575] 1 media file(s) saved
  [10049939] 1 media file(s) saved
  [10050200] 1 media file(s) saved
  [10050714] 2 media file(s) saved
  [10051361] 2 media file(s) saved
  [1005162] 1 media file(s) saved
  [10051793] 1 media file(s) saved
  [10051850] 1 media file(s) saved
  [10051866] 1 media file(s) saved
  [10051942] 1 media file(s) saved
  [10051985] 1 media file(s) saved
  [10053323] 1 media file(s) saved
  [10053382] 1 media file(s) saved
  [10053767] 1 media file(s) saved
  [10054248] 1 media file(s) saved
  [1005440] 1 media file(s) saved
  [10055079] 1 media file(s) saved
  [10055945] 1 media file(s) saved
  [10057425] 1 media file(s) saved
  [10060994] 1 media file(s) saved
  [10061061] 1 media file(s) saved
  [10061192] 19 media file(s) saved
  [10061601] 1 media file(s) saved
  [10063825] 1 media file(s) saved
  [10064841] 1 media file(s) saved
  [10064946] 2 media file(s) saved
  [10064950] 2 media file(s) saved
  [10065486] 1 media file(s) saved
  [10065909] 1 media file(s) saved
  [10066636] 4 media file(s) saved
  [10066672] 1 media file(s) saved
  [10066826] 1 media file(s) saved
  [10067734] 2 media file(s) saved
  [1006777] 1 media file(s) saved
  [10069251] 1 media file(s) saved
  [10071317] 3 media file(s) saved
  [10071321] 1 media file(s) saved
  [10072414] 1 media file(s) saved
  [10072527] 1 media file(s) saved
  [10072569] 1 media file(s) saved
  [10073043] 1 media file(s) saved
  [10073044] 1 media file(s) saved
  [10074112] 1 media file(s) saved
  [10074130] 1 media file(s) saved
  [10074245] 1 media file(s) saved
  [10074305] 1 media file(s) saved
  [10074367] 1 media file(s) saved
  [10074469] 1 media file(s) saved
  [10074709] 1 media file(s) saved
  [10075078] 3 media file(s) saved
  [10075083] 1 media file(s) saved
  [10076029] 1 media file(s) saved
  [10077693] 1 media file(s) saved
  [10077703] 1 media file(s) saved
  [10079612] 2 media file(s) saved
  [10079618] 1 media file(s) saved
  [10079694] 1 media file(s) saved
  [10081222] 9 media file(s) saved
  [10081225] 1 media file(s) saved
  [10081375] 1 media file(s) saved
  [10082579] 1 media file(s) saved
  [10082647] 1 media file(s) saved
  [10089363] 1 media file(s) saved
  [10090469] 1 media file(s) saved
  [10092110] 1 media file(s) saved
  [10095673] 2 media file(s) saved
  [10099493] 1 media file(s) saved
  [10100293] 1 media file(s) saved
  [10101900] 1 media file(s) saved
  [10102959] 1 media file(s) saved
  [10104612] 2 media file(s) saved
  [10107060] 1 media file(s) saved
  [10108225] 1 media file(s) saved
  [10108252] 1 media file(s) saved
  [10112111] 1 media file(s) saved
  [10112155] 1 media file(s) saved
  [10114654] 1 media file(s) saved
  [10116132] 2 media file(s) saved
  [10117923] 1 media file(s) saved
  [10117952] 1 media file(s) saved
  [10117973] 1 media file(s) saved
  [10117994] 1 media file(s) saved
  [10118014] 1 media file(s) saved
  [10118095] 1 media file(s) saved
  [10118122] 1 media file(s) saved
  [10118135] 1 media file(s) saved
  [10118137] 1 media file(s) saved
  [10118152] 1 media file(s) saved
  [10118417] 3 media file(s) saved
  [10119266] 1 media file(s) saved
  [10119300] 1 media file(s) saved
  [10119322] 7 media file(s) saved
  [10119986] 1 media file(s) saved
  [10120258] 59 media file(s) saved
  [10121343] 1 media file(s) saved
  [10124174] 5 media file(s) saved
  [10124313] 1 media file(s) saved
  [10127262] 1 media file(s) saved
  [1013204] 1 media file(s) saved
  [10132238] 1 media file(s) saved
  [10132409] 1 media file(s) saved
  [10133395] 2 media file(s) saved
  [1013998] 1 media file(s) saved
  [10140930] 1 media file(s) saved
  [10141549] 1 media file(s) saved
  [10142113] 1 media file(s) saved
  [10142644] 1 media file(s) saved
  [10147140] 1 media file(s) saved
  [10148366] 1 media file(s) saved
  [10148943] 1 media file(s) saved
  [10149227] 1 media file(s) saved
  [10153831] 1 media file(s) saved
  [10155298] 1 media file(s) saved
  [10157450] 1 media file(s) saved
  [10157858] 1 media file(s) saved
  [10158305] 1 media file(s) saved
  [10159359] 3 media file(s) saved
  [10159714] 3 media file(s) saved
    [ERROR] download https://zenodo.org/api/records/10160617/files/Flap_Y_publi.py/content: 429 Client Error: TOO MANY REQUESTS for url: https://zenodo.org/api/records/10160617/files/Flap_Y_publi.py/content
    [ERROR] download https://zenodo.org/api/records/10160617/files/Input_file_Example.csv/content: 429 Client Error: TOO MANY REQUESTS for url: https://zenodo.org/api/records/10160617/files/Input_file_Example.csv/content
  Rate limited — sleeping 60s
  [10161903] 5 media file(s) saved
  [10161956] 1 media file(s) saved
  [10164871] 1 media file(s) saved
  [10164873] 1 media file(s) saved
  [10164875] 1 media file(s) saved
  [10164879] 1 media file(s) saved
  [10164998] 1 media file(s) saved
  [10165792] 1 media file(s) saved
  [10168539] 1 media file(s) saved
  [10170950] 1 media file(s) saved
  [10171214] 1 media file(s) saved
  [10171381] 1 media file(s) saved
  [10183710] 1 media file(s) saved
  [10184103] 1 media file(s) saved
  [10184331] 1 media file(s) saved
  [10184410] 14 media file(s) saved
  [10184664] 15 media file(s) saved
  [10184698] 14 media file(s) saved
  [10185278] 1 media file(s) saved
  [1019297] 1 media file(s) saved
  [10198352] 1 media file(s) saved
  [10198694] 1 media file(s) saved
  [10199314] 1 media file(s) saved
